Участники гражданского оборота,Тип операции,Сумма операции,Вид расчета,Место оплаты,Терминал оплаты,Дата оплаты,Время оплаты,Результат операции,Cash-back,Сумма cash-back
физ. лицо,получение средств,4203.63,безналичный,Минск,Беларусбанк-FWFC-818,20-10-2004,10:52:21,успешно,нет,0.0
физ. лицо,получение средств,2085.24,безналичный,Минск,Белинвестбанк-JYRW-864,30-06-2021,05:37:52,успешно,нет,0.0
физ. лицо,списание средств,4465.78,безналичный,Минск,Беларусбанк-CFKR-159,24-03-2017,14:29:16,неправильный ввод пин-кода,да,344.6
юр. лицо,получение средств,3721.4,наличный,Минск,МаксБанк-SMQC-932,14-02-2010,15:46:54,успешно,нет,0.0
юр. лицо,списание средств,525.54,наличный,Минск,БелАгропромбанк-TICU-211,28-03-2011,18:04:59,недостаточно средств,да,9.96
физ. лицо,получение средств,4600.84,безналичный,Минск,Приорбанк-RDTP-202,10-11-2006,19:23:19,успешно,нет,0.0
физ. лицо,списание средств,2954.82,наличный,Минск,Белинвестбанк-NRRM-882,20-07-2010,02:19:05,успешно,нет,0.0
физ. лицо,списание средств,1694.45,наличный,Минск,МаксБанк-MCMQ-293,23-06-2024,05:37:06,недостаточно средств,нет,0.0
юр. лицо,списание средств,3747.54,безналичный,Минск,БелАгропромбанк-TMJP-195,10-05-2007,23:34:11,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2284.93,наличный,Минск,Приорбанк-OLUA-874,24-06-2001,13:11:35,успешно,да,67.26
физ. лицо,списание средств,2685.32,наличный,Минск,Белинвестбанк-NANE-198,19-08-2006,23:38:59,неправильный ввод пин-кода,да,75.15
физ. лицо,списание средств,2828.7,наличный,Минск,Белинвестбанк-KBAY-064,02-07-2007,21:32:13,неправильный ввод пин-кода,да,205.23
физ. лицо,списание средств,344.09,наличный,Минск,Приорбанк-DEBQ-218,17-02-2005,08:18:54,недостаточно средств,нет,0.0
юр. лицо,списание средств,4288.15,наличный,Минск,Беларусбанк-HNLN-967,25-09-2000,10:50:00,успешно,да,142.74
физ. лицо,списание средств,4477.9,безналичный,Минск,Белинвестбанк-ERDH-289,09-09-2024,14:34:14,успешно,нет,0.0
юр. лицо,получение средств,558.88,наличный,Минск,БелАгропромбанк-CNDE-255,16-05-2009,06:01:15,успешно,нет,0.0
физ. лицо,списание средств,2478.17,безналичный,Минск,Беларусбанк-IWDJ-205,21-04-2018,19:49:35,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,331.61,наличный,Минск,Приорбанк-GUQF-614,14-09-2021,01:18:29,успешно,нет,0.0
физ. лицо,списание средств,3825.05,наличный,Минск,МаксБанк-VJEZ-846,14-04-2021,13:23:45,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,2261.86,безналичный,Минск,БелАгропромбанк-UADY-774,09-07-2015,09:12:49,успешно,нет,0.0
физ. лицо,списание средств,4413.09,безналичный,Минск,БелАгропромбанк-EVLK-560,29-12-2013,13:41:28,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,4742.88,наличный,Минск,Приорбанк-TROL-628,04-01-2002,10:21:16,успешно,нет,0.0
физ. лицо,списание средств,1351.2,безналичный,Минск,БелАгропромбанк-WOJW-137,11-07-2000,16:33:15,успешно,да,76.09
физ. лицо,списание средств,2597.4,безналичный,Минск,Приорбанк-NBDU-285,17-11-2020,22:41:10,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2239.2,безналичный,Минск,Белинвестбанк-GUMM-156,22-05-2011,23:51:12,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2957.49,безналичный,Минск,МаксБанк-WNNL-500,06-02-2017,08:52:57,успешно,да,40.8
юр. лицо,получение средств,3930.9,безналичный,Минск,Приорбанк-AGSV-784,07-07-2011,07:45:45,успешно,нет,0.0
физ. лицо,списание средств,2345.88,безналичный,Минск,Белинвестбанк-AACQ-666,02-02-2006,22:24:05,неправильный ввод пин-кода,да,170.64
юр. лицо,списание средств,4436.64,наличный,Минск,МаксБанк-ZDFS-991,06-01-2020,05:11:06,успешно,нет,0.0
физ. лицо,списание средств,4162.91,наличный,Минск,Приорбанк-LOSR-280,05-01-2020,22:04:38,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3564.13,безналичный,Минск,БелАгропромбанк-JZIM-055,04-01-2023,14:06:31,успешно,нет,0.0
юр. лицо,списание средств,2347.18,безналичный,Минск,Беларусбанк-XVVY-364,26-12-2004,05:18:14,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2867.83,безналичный,Минск,Приорбанк-SNRI-804,15-04-2023,16:35:00,недостаточно средств,да,209.89
юр. лицо,получение средств,2652.17,безналичный,Минск,Беларусбанк-PQQH-232,05-11-2010,13:34:41,успешно,нет,0.0
физ. лицо,получение средств,1734.43,безналичный,Минск,БелАгропромбанк-IIAL-468,18-10-2009,16:03:03,успешно,нет,0.0
физ. лицо,получение средств,2197.99,наличный,Минск,Белинвестбанк-KGDN-120,29-05-2007,08:29:12,успешно,нет,0.0
юр. лицо,получение средств,4060.25,наличный,Минск,МаксБанк-EOSU-316,08-11-2002,01:06:04,успешно,нет,0.0
юр. лицо,списание средств,752.07,наличный,Минск,МаксБанк-NKCK-609,23-08-2010,20:53:55,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4697.94,безналичный,Минск,Белинвестбанк-XMEE-307,26-09-2022,00:43:19,успешно,нет,0.0
юр. лицо,списание средств,4135.73,безналичный,Минск,Приорбанк-RXPH-687,12-02-2022,02:44:05,успешно,да,229.55
юр. лицо,списание средств,636.06,безналичный,Минск,МаксБанк-AGLU-091,26-03-2020,15:10:17,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3744.29,безналичный,Минск,МаксБанк-HKPL-026,31-08-2018,02:23:38,успешно,нет,0.0
физ. лицо,получение средств,1473.17,наличный,Минск,Приорбанк-HDZG-480,06-04-2008,23:52:53,успешно,нет,0.0
юр. лицо,списание средств,2754.78,наличный,Минск,Приорбанк-RCWA-337,13-07-2009,14:15:55,успешно,да,223.06
физ. лицо,получение средств,779.9,безналичный,Минск,БелАгропромбанк-VVHL-327,01-05-2019,06:55:28,успешно,нет,0.0
физ. лицо,получение средств,4509.21,безналичный,Минск,Беларусбанк-MBXE-066,30-06-2013,15:26:14,успешно,нет,0.0
юр. лицо,получение средств,2125.0,безналичный,Минск,Белинвестбанк-HCWF-821,11-02-2001,07:48:10,успешно,нет,0.0
юр. лицо,получение средств,1913.69,безналичный,Минск,Приорбанк-OXIX-271,15-05-2007,16:20:54,успешно,нет,0.0
юр. лицо,получение средств,3019.82,наличный,Минск,Беларусбанк-MHPP-866,07-08-2002,17:43:48,успешно,нет,0.0
физ. лицо,списание средств,510.66,наличный,Минск,БелАгропромбанк-RIXY-469,28-10-2003,02:22:56,успешно,нет,0.0
физ. лицо,получение средств,2577.6,безналичный,Минск,Приорбанк-PSQF-883,24-09-2010,08:35:07,успешно,нет,0.0
юр. лицо,получение средств,4314.62,наличный,Минск,МаксБанк-IOPG-336,22-08-2011,06:24:40,успешно,нет,0.0
физ. лицо,получение средств,1170.62,наличный,Минск,Беларусбанк-ABFD-442,30-11-2000,18:37:48,успешно,нет,0.0
юр. лицо,списание средств,871.71,безналичный,Минск,Белинвестбанк-CFGD-318,11-06-2023,23:38:12,успешно,да,15.89
физ. лицо,получение средств,1477.8,безналичный,Минск,МаксБанк-JZXA-861,10-12-2022,17:59:26,успешно,нет,0.0
физ. лицо,списание средств,1955.06,безналичный,Минск,Белинвестбанк-FBHE-465,16-02-2020,04:53:06,успешно,да,24.87
физ. лицо,списание средств,1221.06,безналичный,Минск,Приорбанк-OFNW-108,08-10-2019,09:50:11,недостаточно средств,да,14.58
физ. лицо,получение средств,2609.4,наличный,Минск,Белинвестбанк-KYGT-562,15-04-2005,11:59:57,успешно,нет,0.0
физ. лицо,списание средств,3621.35,наличный,Минск,Белинвестбанк-VEIN-801,29-11-2011,22:23:19,успешно,нет,0.0
физ. лицо,списание средств,3546.2,безналичный,Минск,БелАгропромбанк-LCIM-403,27-08-2010,13:19:14,недостаточно средств,нет,0.0
юр. лицо,получение средств,607.1,безналичный,Минск,Беларусбанк-DYZY-620,24-06-2007,10:39:37,успешно,нет,0.0
юр. лицо,получение средств,2363.13,наличный,Минск,МаксБанк-WCLR-464,29-04-2011,13:01:49,успешно,нет,0.0
физ. лицо,получение средств,1866.68,наличный,Минск,Беларусбанк-BRBS-190,18-04-2001,00:49:46,успешно,нет,0.0
физ. лицо,получение средств,821.72,наличный,Минск,МаксБанк-GRYI-668,11-06-2021,07:23:28,успешно,нет,0.0
физ. лицо,списание средств,2477.08,наличный,Минск,МаксБанк-YKDU-241,31-01-2002,09:40:10,недостаточно средств,да,236.4
физ. лицо,списание средств,1646.9,наличный,Минск,БелАгропромбанк-JUPP-962,03-10-2006,04:14:05,недостаточно средств,да,150.74
физ. лицо,списание средств,3041.04,безналичный,Минск,Приорбанк-ELMD-801,26-07-2013,14:24:06,недостаточно средств,да,82.65
юр. лицо,списание средств,61.74,наличный,Минск,БелАгропромбанк-YPOW-563,23-04-2002,22:52:38,недостаточно средств,нет,0.0
юр. лицо,списание средств,175.36,наличный,Минск,Беларусбанк-ZEKN-742,01-04-2012,22:10:18,недостаточно средств,да,14.56
физ. лицо,получение средств,1537.65,наличный,Минск,Беларусбанк-MIDF-489,27-03-2002,15:31:52,успешно,нет,0.0
физ. лицо,получение средств,3343.43,наличный,Минск,Беларусбанк-TYWG-402,21-09-2023,18:59:30,успешно,нет,0.0
физ. лицо,получение средств,3045.53,наличный,Минск,БелАгропромбанк-NGBJ-130,09-07-2002,12:34:34,успешно,нет,0.0
физ. лицо,списание средств,4406.96,наличный,Минск,Белинвестбанк-ITAU-364,04-04-2000,20:08:06,успешно,нет,0.0
физ. лицо,списание средств,4002.75,наличный,Минск,Белинвестбанк-IQXS-377,12-10-2000,21:03:57,успешно,нет,0.0
юр. лицо,получение средств,728.79,безналичный,Минск,Белинвестбанк-GATE-646,08-10-2000,10:06:23,успешно,нет,0.0
физ. лицо,получение средств,4577.36,безналичный,Минск,Белинвестбанк-KBVX-764,01-03-2014,20:47:46,успешно,нет,0.0
юр. лицо,списание средств,4195.65,наличный,Минск,Приорбанк-KAER-602,04-11-2016,12:40:25,недостаточно средств,нет,0.0
юр. лицо,получение средств,1355.16,безналичный,Минск,МаксБанк-KPDW-946,16-07-2000,21:39:13,успешно,нет,0.0
юр. лицо,списание средств,660.97,наличный,Минск,Белинвестбанк-IIHJ-594,01-10-2015,11:11:50,неправильный ввод пин-кода,да,40.06
физ. лицо,получение средств,1047.94,наличный,Минск,Беларусбанк-RBPJ-625,04-03-2004,09:11:08,успешно,нет,0.0
юр. лицо,получение средств,3237.72,безналичный,Минск,МаксБанк-HIPD-315,10-02-2016,23:01:00,успешно,нет,0.0
юр. лицо,получение средств,2187.12,безналичный,Минск,МаксБанк-MNHN-939,27-04-2010,08:39:18,успешно,нет,0.0
физ. лицо,получение средств,2192.58,наличный,Минск,Приорбанк-RYOP-554,01-06-2006,10:59:30,успешно,нет,0.0
физ. лицо,списание средств,1702.4,наличный,Минск,БелАгропромбанк-TAJS-137,13-11-2001,21:38:04,успешно,нет,0.0
физ. лицо,списание средств,2618.66,безналичный,Минск,МаксБанк-HOUS-995,18-09-2021,02:12:19,неправильный ввод пин-кода,да,66.54
физ. лицо,списание средств,3250.84,безналичный,Минск,БелАгропромбанк-KHAU-834,27-12-2000,01:29:39,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,4238.97,наличный,Минск,Белинвестбанк-DGJD-677,14-07-2018,08:49:51,успешно,нет,0.0
юр. лицо,списание средств,2717.13,безналичный,Минск,Белинвестбанк-MJQP-486,20-10-2007,02:36:15,успешно,да,229.88
физ. лицо,получение средств,3654.1,безналичный,Минск,Приорбанк-YSGK-936,27-03-2011,05:43:34,успешно,нет,0.0
физ. лицо,списание средств,781.59,безналичный,Минск,Приорбанк-DTWO-714,25-08-2023,11:16:41,недостаточно средств,нет,0.0
юр. лицо,получение средств,4514.78,безналичный,Минск,Приорбанк-BAQT-100,04-12-2017,23:11:00,успешно,нет,0.0
физ. лицо,получение средств,4253.85,безналичный,Минск,БелАгропромбанк-ASVG-789,24-02-2014,23:39:22,успешно,нет,0.0
физ. лицо,списание средств,1747.74,безналичный,Минск,БелАгропромбанк-ZDVV-645,18-03-2003,08:37:29,успешно,нет,0.0
физ. лицо,списание средств,1335.42,наличный,Минск,БелАгропромбанк-WLKL-733,18-11-2012,12:02:57,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,777.71,наличный,Минск,Белинвестбанк-SWHR-388,17-01-2020,09:17:02,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1038.42,безналичный,Минск,БелАгропромбанк-JTAZ-882,06-09-2000,05:11:33,успешно,нет,0.0
физ. лицо,списание средств,2006.87,наличный,Минск,МаксБанк-PTDY-326,08-07-2017,15:12:22,успешно,да,146.77
физ. лицо,получение средств,3582.07,безналичный,Минск,Белинвестбанк-OMCH-308,11-05-2003,14:56:10,успешно,нет,0.0
юр. лицо,получение средств,3418.45,наличный,Минск,Приорбанк-XLJE-502,14-12-2017,17:44:13,успешно,нет,0.0
физ. лицо,списание средств,3039.4,безналичный,Минск,БелАгропромбанк-UHGI-327,20-09-2008,04:32:12,успешно,нет,0.0
физ. лицо,списание средств,165.21,безналичный,Минск,Приорбанк-ZJHI-089,09-08-2007,20:39:15,недостаточно средств,нет,0.0
юр. лицо,получение средств,3545.7,наличный,Минск,Приорбанк-XNQC-997,11-05-2005,07:36:19,успешно,нет,0.0
физ. лицо,списание средств,84.31,безналичный,Минск,БелАгропромбанк-DLWO-986,31-07-2002,09:00:27,недостаточно средств,нет,0.0
юр. лицо,списание средств,4677.6,наличный,Минск,Приорбанк-NTMH-733,01-10-2018,06:22:56,недостаточно средств,да,339.7
юр. лицо,списание средств,59.35,безналичный,Минск,МаксБанк-JKOA-069,30-03-2020,09:13:31,недостаточно средств,да,5.47
юр. лицо,получение средств,2912.99,безналичный,Минск,БелАгропромбанк-VBRB-691,31-12-2005,18:11:20,успешно,нет,0.0
физ. лицо,получение средств,2515.12,наличный,Минск,Беларусбанк-FRWG-804,07-02-2008,22:06:42,успешно,нет,0.0
физ. лицо,получение средств,4038.8,безналичный,Минск,БелАгропромбанк-GTIF-223,30-12-2003,06:08:47,успешно,нет,0.0
физ. лицо,списание средств,4122.72,безналичный,Минск,Белинвестбанк-DFOX-024,21-09-2004,03:08:21,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,131.1,безналичный,Минск,Приорбанк-ZJNF-918,25-05-2020,17:32:08,недостаточно средств,да,8.32
юр. лицо,получение средств,2191.3,безналичный,Минск,Белинвестбанк-GATR-733,02-09-2011,08:32:16,успешно,нет,0.0
физ. лицо,получение средств,4964.36,наличный,Минск,БелАгропромбанк-XSCA-893,04-04-2014,18:38:47,успешно,нет,0.0
юр. лицо,получение средств,1490.22,безналичный,Минск,Белинвестбанк-KLIM-589,09-04-2007,23:06:03,успешно,нет,0.0
физ. лицо,списание средств,4419.05,наличный,Минск,МаксБанк-FMJH-868,07-04-2021,16:01:21,недостаточно средств,да,386.81
юр. лицо,списание средств,1507.03,наличный,Минск,Беларусбанк-BZXB-083,29-07-2011,07:33:42,неправильный ввод пин-кода,да,140.4
физ. лицо,получение средств,2671.49,безналичный,Минск,Беларусбанк-ICRV-361,10-07-2008,01:31:21,успешно,нет,0.0
юр. лицо,списание средств,4990.08,наличный,Минск,Беларусбанк-FFJE-249,16-01-2021,22:58:06,недостаточно средств,нет,0.0
юр. лицо,получение средств,2265.22,безналичный,Минск,БелАгропромбанк-ZBVA-655,17-04-2012,03:07:37,успешно,нет,0.0
физ. лицо,получение средств,2463.93,наличный,Минск,Беларусбанк-OORT-918,06-09-2011,10:00:26,успешно,нет,0.0
юр. лицо,списание средств,2484.03,наличный,Минск,Белинвестбанк-HACP-309,13-04-2021,12:25:39,успешно,нет,0.0
физ. лицо,списание средств,3583.8,безналичный,Минск,Беларусбанк-HUHL-867,24-07-2014,15:55:20,неправильный ввод пин-кода,да,355.98
физ. лицо,списание средств,1354.54,наличный,Минск,Приорбанк-HVQX-530,29-09-2013,09:14:59,успешно,да,94.31
физ. лицо,списание средств,2560.32,безналичный,Минск,Белинвестбанк-OMRH-040,22-03-2001,06:05:44,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,1827.86,наличный,Минск,Белинвестбанк-HZOT-584,20-05-2002,04:29:46,успешно,да,38.33
юр. лицо,получение средств,4648.24,безналичный,Минск,Приорбанк-WBKR-928,02-02-2016,08:08:55,успешно,нет,0.0
физ. лицо,получение средств,680.94,наличный,Минск,БелАгропромбанк-RSHU-232,04-09-2024,09:01:19,успешно,нет,0.0
физ. лицо,списание средств,2087.52,наличный,Минск,Беларусбанк-DIAJ-850,20-11-2018,22:23:48,успешно,нет,0.0
юр. лицо,получение средств,3622.16,безналичный,Минск,Беларусбанк-KOPT-177,28-01-2020,16:46:29,успешно,нет,0.0
физ. лицо,получение средств,1224.4,безналичный,Минск,Приорбанк-LGVL-983,23-12-2008,21:04:32,успешно,нет,0.0
физ. лицо,получение средств,319.79,наличный,Минск,БелАгропромбанк-WYUV-658,02-12-2015,12:41:22,успешно,нет,0.0
юр. лицо,списание средств,4771.65,безналичный,Минск,Беларусбанк-KHPM-457,06-11-2023,00:25:53,неправильный ввод пин-кода,да,338.03
физ. лицо,списание средств,40.69,безналичный,Минск,БелАгропромбанк-IRSS-529,02-10-2013,12:00:04,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,2433.94,безналичный,Минск,Беларусбанк-QFUO-615,01-10-2000,09:20:37,недостаточно средств,да,202.31
физ. лицо,списание средств,2721.54,безналичный,Минск,БелАгропромбанк-CGFP-618,14-12-2013,02:58:50,успешно,нет,0.0
физ. лицо,списание средств,3859.34,безналичный,Минск,Беларусбанк-HEGL-384,30-01-2002,21:33:52,неправильный ввод пин-кода,нет,0.0
физ. лицо,получение средств,4276.34,наличный,Минск,БелАгропромбанк-ZKZH-230,17-05-2002,07:11:28,успешно,нет,0.0
физ. лицо,списание средств,3769.06,наличный,Минск,МаксБанк-WUMW-821,28-03-2017,10:23:15,недостаточно средств,да,302.39
физ. лицо,списание средств,3703.31,безналичный,Минск,Белинвестбанк-NGSK-435,13-07-2022,00:24:14,недостаточно средств,да,265.87
юр. лицо,списание средств,1568.21,наличный,Минск,Белинвестбанк-WVQB-525,25-12-2000,04:07:39,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2243.2,безналичный,Минск,Приорбанк-XJRM-717,30-06-2023,03:03:42,недостаточно средств,нет,0.0
юр. лицо,получение средств,2152.09,наличный,Минск,БелАгропромбанк-YDXC-801,29-03-2017,10:49:56,успешно,нет,0.0
юр. лицо,получение средств,456.2,безналичный,Минск,Белинвестбанк-DUXE-703,18-04-2018,09:56:06,успешно,нет,0.0
юр. лицо,получение средств,1807.88,наличный,Минск,БелАгропромбанк-KXQS-123,26-10-2012,03:18:28,успешно,нет,0.0
юр. лицо,получение средств,1710.85,безналичный,Минск,БелАгропромбанк-XQBV-165,25-11-2024,11:28:01,успешно,нет,0.0
физ. лицо,получение средств,3343.67,наличный,Минск,БелАгропромбанк-ABTI-880,23-09-2020,00:41:55,успешно,нет,0.0
юр. лицо,списание средств,3159.66,безналичный,Минск,Беларусбанк-WKHZ-579,14-05-2015,04:37:23,неправильный ввод пин-кода,да,303.74
юр. лицо,списание средств,1636.76,безналичный,Минск,БелАгропромбанк-UPBF-736,05-08-2006,20:44:19,успешно,да,85.5
юр. лицо,списание средств,4444.99,наличный,Минск,Приорбанк-BXBB-911,03-12-2010,20:44:36,недостаточно средств,да,218.98
юр. лицо,получение средств,460.13,безналичный,Минск,Беларусбанк-FADQ-680,16-05-2011,16:51:47,успешно,нет,0.0
юр. лицо,списание средств,375.13,безналичный,Минск,Белинвестбанк-LGJZ-794,21-08-2019,21:51:04,неправильный ввод пин-кода,да,25.74
физ. лицо,получение средств,3203.34,наличный,Минск,БелАгропромбанк-ADZM-723,11-01-2008,07:16:56,успешно,нет,0.0
физ. лицо,списание средств,4640.01,безналичный,Минск,Белинвестбанк-WUFF-854,29-01-2002,09:27:57,успешно,нет,0.0
физ. лицо,списание средств,4336.17,безналичный,Минск,Приорбанк-FUAP-608,20-03-2009,13:13:41,недостаточно средств,да,138.15
физ. лицо,списание средств,562.42,наличный,Минск,Белинвестбанк-WRYP-853,06-05-2008,17:03:38,неправильный ввод пин-кода,да,33.54
юр. лицо,списание средств,3167.32,безналичный,Минск,Беларусбанк-DTXL-247,28-04-2004,17:27:06,успешно,да,183.73
юр. лицо,списание средств,4477.29,безналичный,Минск,Приорбанк-SRPJ-453,19-10-2007,13:42:52,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,3167.4,наличный,Минск,Приорбанк-AASZ-021,31-05-2006,09:20:54,успешно,нет,0.0
юр. лицо,получение средств,696.14,наличный,Минск,Беларусбанк-QEMQ-903,22-02-2002,01:34:43,успешно,нет,0.0
юр. лицо,списание средств,2968.43,безналичный,Минск,МаксБанк-IJHC-693,20-04-2003,02:03:24,недостаточно средств,нет,0.0
физ. лицо,списание средств,1722.74,безналичный,Минск,Белинвестбанк-CRWW-251,27-02-2001,18:06:06,недостаточно средств,нет,0.0
юр. лицо,списание средств,3178.16,безналичный,Минск,Приорбанк-MLYK-683,15-09-2000,15:53:43,успешно,нет,0.0
физ. лицо,списание средств,1304.14,безналичный,Минск,Белинвестбанк-PJAQ-604,29-01-2008,12:36:08,успешно,да,24.28
юр. лицо,списание средств,823.18,безналичный,Минск,Беларусбанк-ARUZ-428,16-10-2022,18:26:30,неправильный ввод пин-кода,да,25.44
юр. лицо,получение средств,1144.24,наличный,Минск,БелАгропромбанк-KBHW-607,19-11-2005,02:16:10,успешно,нет,0.0
физ. лицо,списание средств,4548.06,наличный,Минск,Беларусбанк-MVRG-788,14-02-2024,01:44:29,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,3970.01,наличный,Минск,Беларусбанк-KMGH-095,18-10-2020,14:47:36,недостаточно средств,нет,0.0
физ. лицо,получение средств,2597.77,наличный,Минск,БелАгропромбанк-LGJV-844,19-03-2009,05:06:42,успешно,нет,0.0
физ. лицо,списание средств,693.87,безналичный,Минск,Белинвестбанк-SSMI-654,14-03-2000,09:39:58,недостаточно средств,да,21.69
физ. лицо,списание средств,3309.89,наличный,Минск,Белинвестбанк-RUCN-575,04-03-2014,12:09:39,недостаточно средств,нет,0.0
физ. лицо,списание средств,3791.21,наличный,Минск,МаксБанк-QILV-667,11-08-2013,00:00:23,недостаточно средств,да,159.91
физ. лицо,списание средств,2850.21,наличный,Минск,БелАгропромбанк-DJDO-081,16-09-2021,00:17:20,успешно,да,112.6
физ. лицо,получение средств,3751.17,безналичный,Минск,Белинвестбанк-XDPG-883,29-09-2023,11:47:46,успешно,нет,0.0
физ. лицо,списание средств,1894.17,безналичный,Минск,Приорбанк-OHKT-895,28-01-2011,15:57:49,успешно,да,23.58
юр. лицо,списание средств,4308.22,наличный,Минск,МаксБанк-DDKU-287,24-08-2015,11:30:37,недостаточно средств,нет,0.0
физ. лицо,получение средств,2127.4,наличный,Минск,МаксБанк-JLUU-653,12-08-2023,07:59:40,успешно,нет,0.0
юр. лицо,списание средств,4008.75,наличный,Минск,Беларусбанк-OQYV-599,20-05-2020,06:15:16,успешно,нет,0.0
физ. лицо,списание средств,2602.02,безналичный,Минск,БелАгропромбанк-ICDU-427,23-05-2006,01:32:40,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,74.2,наличный,Минск,Беларусбанк-FPQY-213,08-06-2007,22:42:12,неправильный ввод пин-кода,да,1.5
физ. лицо,получение средств,3982.7,наличный,Минск,Белинвестбанк-HQIC-903,07-10-2002,22:22:37,успешно,нет,0.0
физ. лицо,получение средств,4368.61,наличный,Минск,МаксБанк-PMHB-209,11-03-2012,21:36:21,успешно,нет,0.0
юр. лицо,получение средств,3384.16,наличный,Минск,Приорбанк-AOCQ-047,05-09-2011,23:48:51,успешно,нет,0.0
физ. лицо,получение средств,3267.55,наличный,Минск,МаксБанк-GWSA-148,03-08-2011,16:25:57,успешно,нет,0.0
юр. лицо,получение средств,2849.61,безналичный,Минск,Белинвестбанк-PYXK-074,29-09-2020,16:07:10,успешно,нет,0.0
юр. лицо,списание средств,2531.65,наличный,Минск,МаксБанк-ROFH-741,13-07-2014,11:24:51,успешно,нет,0.0
физ. лицо,списание средств,872.64,безналичный,Минск,Белинвестбанк-PKKL-807,13-04-2020,07:59:38,успешно,нет,0.0
физ. лицо,списание средств,1183.47,наличный,Минск,Приорбанк-PMKC-036,24-11-2015,04:26:17,неправильный ввод пин-кода,да,111.41
юр. лицо,списание средств,1402.44,наличный,Минск,МаксБанк-ITCI-338,30-09-2007,21:09:46,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2696.57,безналичный,Минск,Беларусбанк-VQDF-447,24-07-2013,10:36:51,неправильный ввод пин-кода,да,54.17
юр. лицо,списание средств,3314.64,безналичный,Минск,Приорбанк-JSAP-443,14-07-2003,23:17:08,успешно,да,326.02
физ. лицо,получение средств,2551.97,безналичный,Минск,МаксБанк-ZDJD-983,12-11-2022,19:26:24,успешно,нет,0.0
юр. лицо,получение средств,996.81,безналичный,Минск,МаксБанк-NVFD-853,14-03-2018,15:15:14,успешно,нет,0.0
юр. лицо,получение средств,3488.76,безналичный,Минск,Белинвестбанк-GDMF-920,28-03-2018,23:46:49,успешно,нет,0.0
физ. лицо,списание средств,3043.47,безналичный,Минск,МаксБанк-HBAR-382,20-05-2007,15:00:16,неправильный ввод пин-кода,да,302.2
физ. лицо,получение средств,4127.28,наличный,Минск,БелАгропромбанк-OFKV-869,08-03-2009,07:24:07,успешно,нет,0.0
юр. лицо,списание средств,4892.7,наличный,Минск,МаксБанк-ZAZH-848,21-03-2012,09:47:47,неправильный ввод пин-кода,нет,0.0
юр. лицо,получение средств,849.89,безналичный,Минск,Беларусбанк-YUJX-120,22-02-2024,23:38:05,успешно,нет,0.0
физ. лицо,получение средств,824.83,безналичный,Минск,Беларусбанк-IWSX-306,03-01-2021,12:50:12,успешно,нет,0.0
физ. лицо,получение средств,2692.23,наличный,Минск,МаксБанк-NAKC-312,15-05-2012,12:48:51,успешно,нет,0.0
физ. лицо,списание средств,3761.94,безналичный,Минск,Приорбанк-YDHR-653,03-10-2010,02:36:53,успешно,да,152.89
юр. лицо,списание средств,6.42,наличный,Минск,Беларусбанк-WHPZ-027,10-05-2007,04:36:50,недостаточно средств,да,0.38
физ. лицо,списание средств,4084.17,безналичный,Минск,МаксБанк-CRMQ-027,02-12-2020,15:12:31,успешно,да,125.67
юр. лицо,списание средств,1060.24,безналичный,Минск,Беларусбанк-GSIY-677,20-05-2024,18:27:45,неправильный ввод пин-кода,нет,0.0
физ. лицо,списание средств,2432.83,безналичный,Минск,Приорбанк-HDBD-732,23-02-2020,05:57:13,неправильный ввод пин-кода,нет,0.0
юр. лицо,списание средств,4017.32,безналичный,Минск,Приорбанк-PFTO-400,22-07-2003,12:29:22,успешно,нет,0.0
юр. лицо,получение средств,4396.77,безналичный,Минск,Приорбанк-KJXC-626,12-05-2021,20:52:09,успешно,нет,0.0
юр. лицо,получение средств,1216.56,наличный,Минск,Приорбанк-FITC-383,27-11-2015,11:23:48,успешно,нет,0.0
физ. лицо,списание средств,4801.21,безналичный,Минск,БелАгропромбанк-ULVN-988,20-03-2007,05:46:06,недостаточно средств,да,222.32
физ. лицо,получение средств,1014.97,наличный,Минск,МаксБанк-QHDF-729,23-08-2003,04:13:43,успешно,нет,0.0
